username,languageName,problemsSolved
Manan_Agarwal,TypeScript,6
QueenSAD,C++,2
adityamenon0712,Java,182
adityamenon0712,MySQL,7
adityamenon0712,Python3,6
f1ghtingfalcons,C++,5
f1ghtingfalcons,Java,61
f1ghtingfalcons,MySQL,9
f1ghtingfalcons,C#,128
f1ghtingfalcons,JavaScript,51
f1ghtingfalcons,Python3,4
f1ghtingfalcons,TypeScript,104
f1ghtingfalcons,Dart,3
f1ghtingfalcons,Pandas,9
r_raghuvanshi,C++,6
r_raghuvanshi,Java,338
r_raghuvanshi,Python,2
r_raghuvanshi,Python3,1
maheshpatilhp132,C++,119
maheshpatilhp132,MySQL,10
OsFaroui,C++,4
OsFaroui,Java,29
OsFaroui,MySQL,4
OsFaroui,JavaScript,30
OsFaroui,Go,90
OsFaroui,Python3,11
megalomaniac,Java,3
megalomaniac,Python,14
megalomaniac,JavaScript,262
megalomaniac,Bash,1
megalomaniac,Go,109
megalomaniac,TypeScript,150
harshkhasbage77,C++,57
Northwolf12,C++,91
k3a7GXVSXX,Java,4
k3a7GXVSXX,Python3,2
JWRen,MS SQL Server,1
bahlkush_,Python,15
Sabarish_Coder,Python3,5
makerj67,Python3,81
gauri_r,C++,29
gauri_r,Python,11
RichardThai,C++,1
RichardThai,Python3,103
myang235,Java,17
saikumar4518,C++,76
saikumar4518,Java,1
saikumar4518,C,1
saikumar4518,Python3,5
naitik20Wave,C++,329
skp1999,C++,314
skp1999,Java,3
skp1999,Python,17
skp1999,MySQL,5
skp1999,Python3,27
skp1999,Pandas,10
EZkQyzoa50,C++,30
Kalyanranjan,Java,3
Kalyanranjan,Python,9
Kalyanranjan,C#,1
Kalyanranjan,JavaScript,1
Kalyanranjan,Python3,72
viknesh-ai,C++,5
viknesh-ai,Java,57
viknesh-ai,Python3,7
aadi_joshi,C++,1
aadi_joshi,Java,166
aadi_joshi,Python,2
aadi_joshi,MySQL,1
aadi_joshi,C,2
aadi_joshi,Dart,1
guptarishi1030,C++,146
guptarishi1030,MySQL,1
guptarishi1030,Python3,1
Om_Parekh,Java,71
maison78901,C++,1
maison78901,Python,6
maison78901,Python3,97
maison78901,TypeScript,10
sohil925,PostgreSQL,1
HarshitTibrewal,C++,454
HarshitTibrewal,Java,1
monish123,C++,317
monish123,MySQL,17
monish123,C#,3
monish123,JavaScript,17
monish123,Python3,338
monish123,TypeScript,2
monish123,PostgreSQL,4
kasshankhan,C++,30
nomaankhan9966,C++,53
nomaankhan9966,Java,25
nomaankhan9966,TypeScript,2
Kebiix,Java,24
Kebiix,Python,65
Kebiix,Python3,271
shashankchaudhary,C++,408
shashankchaudhary,Python,1
shashankchaudhary,MySQL,8
shashankchaudhary,C,1
kensh1nluomux1aox1ao,Java,551
kaushik-42,Java,3
kaushik-42,MySQL,15
kaushik-42,Python3,643
ggughappriya,Java,21
ggughappriya,MySQL,1
ponderzsm,Java,1020
